"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"1",2018-03-31,697.35573327,736.05743168,684.42261994,685.7576342,499636.35867639,705.20241011,704.64963832
"2",2018-03-30,712.32469668,767.48126735,676.59882827,698.63171693,632287.73434881,710.10814736,709.52082429
"3",2018-03-29,861.25358774,868.19718813,700.11458669,718.86851643,681737.50876862,775.94339116,781.38007934
"4",2018-03-28,876.61208825,896.99705351,852.40392169,859.5053992,443075.18326527,875.69714364,875.91370956
"5",2018-03-27,913.5618216,925.71432498,876.64539206,879.92190755,435645.77868923,902.11950136,902.04827303
"6",2018-03-26,969.18766101,975.17663964,886.2787599,916.10822514,428102.53944012,933.29318311,936.93162737
"7",2018-03-25,973.76914104,990.23423845,966.4385964,969.69164974,300271.19811933,979.60357855,979.62269144
"8",2018-03-24,1028.86818879,1033.27253121,984.81797841,984.81797841,320483.69855535,1013.64294366,1013.57819441
"9",2018-03-23,1013.64576293,1024.97424047,964.98675007,1024.97424047,316453.27746631,991.18624244,991.986378
"10",2018-03-22,1032.74109175,1063.80516083,990.25306929,1010.53029099,386569.06492373,1025.29427575,1024.99669389
"11",2018-03-21,1063.26529846,1084.03796017,1013.94648417,1034.33176326,416977.24799016,1050.49659615,1049.78344781
"12",2018-03-20,995.9121818,1073.86829029,957.78501101,1053.69243267,523749.98476282,1011.423393,1011.2994242
"13",2018-03-19,935.17577276,997.37354299,914.13310232,992.19194727,479459.18459628,952.62826199,952.70856246
"14",2018-03-18,948.99483774,948.99483774,849.6511541,936.11710611,513565.85722088,900.04304193,899.90154675
"15",2018-03-17,978.05202772,1025.76835153,933.14130915,949.00691844,487970.68663167,974.78285224,974.07122951
"16",2018-03-16,943.93856112,1054.23411905,903.96781542,974.76398017,534908.71014021,963.91981138,960.25006894
"17",2018-03-15,948.01529261,955.02707593,875.62421464,944.47763303,449232.81625935,922.32640857,922.75479961
"18",2018-03-14,1065.00977454,1071.07061301,923.7130984,949.1730535,473377.25557768,1012.0940402,1011.69301363
"19",2018-03-13,1049.86947252,1097.18318883,1000.70594747,1063.3808627,471935.10598279,1056.70417215,1056.87746829
"20",2018-03-12,1136.17586447,1145.42305871,1023.63614178,1057.83888548,444777.27727908,1093.46312969,1092.19489025
"21",2018-03-11,1004.76672088,1148.11377066,969.94759712,1138.66233284,490050.51117403,1056.80976248,1052.93094523
"22",2018-03-10,1063.59939542,1085.53750844,991.97969374,1005.40735481,408891.46085695,1049.26927558,1048.42791338
"23",2018-03-09,1034.43103203,1069.55128856,931.37895072,1063.91401991,523344.61565662,989.31211249,989.57996778
"24",2018-03-08,1093.00408177,1113.15326824,1007.21697792,1039.7857188,473612.19419076,1070.17046156,1069.99584268
"25",2018-03-07,1204.42902858,1219.67546816,1046.14660005,1091.5716805,438398.525761,1151.9705652,1153.7883691
