"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"1",2018-03-31,394.41370414,419.13275163,391.81017792,395.68222224,2235636.16452588,402.56960933,402.25558986
"2",2018-03-30,384.35742675,411.86369798,367.65455132,394.65020375,3443597.15975504,386.18255196,386.04338888
"3",2018-03-29,447.99213595,449.70996977,382.16164301,385.43167899,3611997.39875968,412.45022983,415.58139417
"4",2018-03-28,450.06880073,465.32946103,443.5977525,446.58891127,1931323.33993454,452.21529518,452.26884423
"5",2018-03-27,487.70006673,492.09553368,449.52802017,451.01199533,2470456.40774442,464.06177917,464.42074707
"6",2018-03-26,524.22506263,526.55673654,470.1388445,489.13668231,2176024.05518099,496.69423156,500.52654022
"7",2018-03-25,521.40761398,535.58297168,514.5589549,524.19999122,1215491.11781743,522.6498235,522.67830405
"8",2018-03-24,544.69868161,546.20846457,525.87572988,525.87572988,1321193.16710291,537.97223933,537.71657437
"9",2018-03-23,541.51159781,542.64450854,511.21261452,542.64450854,1754252.23269721,524.49338289,524.72493656
"10",2018-03-22,563.05669477,578.56239816,521.50933906,540.43806671,1783508.20429053,550.41984116,550.08842489
"11",2018-03-21,559.19238377,591.5525924,549.98727602,563.40756362,2092897.40649675,571.49003349,571.44641499
"12",2018-03-20,559.14005289,567.98662989,520.9242645,556.62980037,2259199.50655408,545.96541421,546.29893519
"13",2018-03-19,538.45757712,558.78796211,518.31709912,556.25984547,2694516.42948823,540.12284394,540.60691337
"14",2018-03-18,551.31064114,554.0447611,458.02305377,540.86284276,4060747.00891348,506.80469667,508.92235678
"15",2018-03-17,601.4417015,609.70043876,547.65607667,552.76687855,1554286.05719426,586.00458234,586.22537544
"16",2018-03-16,611.94681421,625.02090524,587.86910916,601.33245589,1510544.76634284,609.76106538,610.21100312
"17",2018-03-15,613.71830092,622.09118101,574.64539069,611.89229855,1964653.81859819,603.4942158,603.44858307
"18",2018-03-14,691.11675989,703.64253626,592.64060333,614.13394878,1909935.87617765,657.86932929,661.81434519
"19",2018-03-13,698.55706588,714.99330786,682.36852235,691.13064217,1330562.33435154,696.44253099,696.16658777
"20",2018-03-12,721.95910746,741.75375293,682.85601704,699.778673,1498350.38949269,715.51026964,715.88601582
"21",2018-03-11,684.4506987,735.43078554,665.65090299,723.78694406,1463033.2001045,703.46157698,703.01744137
"22",2018-03-10,728.21730732,748.55700527,681.2331259,685.59483021,1456561.25842893,726.83626523,725.17595257
"23",2018-03-09,700.99772365,730.47036239,644.81854015,729.14496601,2213714.31257171,687.8178902,687.56354882
"24",2018-03-08,752.73758668,773.8916688,693.78677982,703.17534038,1800333.65141192,741.86308491,740.78545183
"25",2018-03-07,815.82754024,825.59355057,729.94265781,752.29403078,2013469.51890779,780.53993691,783.6375374
"26",2018-03-06,849.37100132,852.56724622,808.21975903,815.7431463,1489113.40804178,833.84866898,834.38068798
"27",2018-03-05,865.75990349,869.52331548,852.45661957,852.45661957,1210306.38631271,862.14372754,862.25642238
"28",2018-03-04,855.51376726,867.47455747,838.89637898,865.41505902,1155830.00148658,853.87888732,853.94692627
"29",2018-03-03,856.83350234,868.50133165,853.05674396,856.11154717,1182538.07060468,861.67348591,861.64914436
"30",2018-03-02,871.29525266,875.73914658,852.63312293,857.38021493,1278085.12454729,864.33225443,864.31530645
"31",2018-03-01,853.98322314,880.47080024,850.29748313,870.45831559,1270490.84555907,866.99441402,867.18603853
"32",2018-02-28,874.1446804,890.32505744,853.01247613,853.15907393,1355182.81289373,873.59281375,873.51038255
"33",2018-02-27,871.46057473,897.12624324,865.65183058,877.34988352,1381834.03205768,880.27697624,880.19839669
"34",2018-02-26,845.31609399,882.87139471,840.02416293,868.9433127,1466778.27909228,862.875218,862.17174427
"35",2018-02-25,840.08388118,853.96534017,822.28104927,843.84255157,1186022.83833964,840.41997975,840.27158007
"36",2018-02-24,863.64040305,881.7258937,817.62293733,839.22519456,1427565.99406367,849.01891225,847.81853975
"37",2018-02-23,811.93389847,889.59092421,796.5877106,864.62363059,1836830.51037308,851.35108304,850.94776938
"38",2018-02-22,849.41776455,876.94989813,801.64929294,811.08602838,1792364.33595031,835.77164135,835.66872798
"39",2018-02-21,896.54915049,916.20584247,829.57218648,850.29882778,2142989.99749535,874.67713775,875.76495584
"40",2018-02-20,945.49977013,967.61413219,890.64696473,894.71177005,1935626.14280792,943.22298946,944.00268016
"41",2018-02-19,921.77872382,959.79789802,919.71377922,944.86068721,1415568.66491424,943.27027344,944.00968158
"42",2018-02-18,977.2864943,987.24939986,912.98040246,923.59855144,1882601.44359218,946.96780621,947.41585402
"43",2018-02-17,944.09776836,978.46408615,940.90939152,975.82833105,1714855.52169573,966.42055659,966.35848126
"44",2018-02-16,933.20714512,952.00574047,917.18808784,944.60320612,1635928.56114374,936.92466639,937.12652136
"45",2018-02-15,923.8508137,952.86322748,911.825778,934.83847978,2144799.45388622,933.34995713,933.40951916
"46",2018-02-14,845.71058503,926.00154597,845.71058503,923.71937872,2130230.46455832,887.08309185,884.84381949
"47",2018-02-13,869.20924988,870.96374213,829.95232716,846.13480262,1684837.71633835,848.11842303,848.1660938
"48",2018-02-12,816.6363449,878.39885455,816.6363449,867.11667781,1817093.28365188,857.8915344,858.32862408
