coin,Date,Open,High,Low,Close,Volume,VWAP,TWAP
Bitcoin,2018-03-31,6877.06055919,7224.07309637,6845.76540687,6980.79448493,382634.61907059,7044.70518589,7044.12780505
Bitcoin,2018-03-30,7145.55881192,7300.91315493,6667.08696822,6883.72520841,609854.55360488,6935.25722788,6936.28298295
Bitcoin,2018-03-29,7983.83714432,7996.38960727,7005.9980729,7154.14349083,531839.17325607,7535.63604302,7574.00526544
Bitcoin,2018-03-28,7846.5843239999995,8119.13488131,7804.21509604,7972.35095902,275193.59762448,7956.31433476,7959.1319772
Bitcoin,2018-03-27,8189.53236396,8244.97032007,7806.92613999,7856.94884644,357522.24691056,8007.85872114,8009.49188198
Bitcoin,2018-03-26,8516.70668532,8551.12408801,7927.10526593,8208.52430225,380726.44585365,8237.71279536,8265.93257008
Bitcoin,2018-03-25,8601.54817077,8694.80518059,8455.45609032,8521.30181407,258690.56842447,8584.68630409,8584.75278113
Bitcoin,2018-03-24,8954.6975221,9017.10669004,8654.51830724,8654.51830724,299371.09000832,8898.39434709,8898.02319481
Bitcoin,2018-03-23,8770.40392139,8901.22221777,8359.14705601,8901.22221777,341786.7862481,8574.94250381,8578.10598089
Bitcoin,2018-03-22,8964.87566843,9129.40876003,8558.75156952,8756.31108237,345840.94498792,8842.3219026,8847.23004402
Bitcoin,2018-03-21,8962.11009794,9206.77617841,8848.18808908,8986.47732244,353673.54794206,9045.56184807,9044.86457761
Bitcoin,2018-03-20,8679.91985582,9066.72743849,8404.15844627,8940.89642499,412535.63211077,8678.37183569,8687.04872653
Bitcoin,2018-03-19,8169.82730937,8713.97404571,8077.0436764,8636.61678813,503124.12282296,8368.65408072,8376.72073457
Bitcoin,2018-03-18,7839.49893252,8217.21537657,7267.29831631,8177.93276916,631518.36303128,7624.87813565,7620.38541511
Bitcoin,2018-03-17,8287.74632163,8386.54351514,7765.67624761,7862.44808077,464051.1150031,8093.47096118,8087.88296349
